"AMJE COLLEGE, Ojokoro",Privately owned,Ifako/Ijaiye,Secondary, amje63@yahoo.com ," 0802 975 5093,     0703 355 5020,     0802 330 6382","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5253"",""Read more"")"
AMUWO JUNIOR GRAMMAR SCHOOL,State owned,Amuwo-Odofin,Secondary, amuwojunior@lagosschoolsonline.com," '07033604504, 08023336194","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/534"",""Read more"")"
"AMUWO ODOFIN COMM SNR SEC SCHL, Mile 2",State owned,Amuwo-Odofin,Secondary, aocss2012@yahoo.com, 08034001886,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1044"",""Read more"")"
"AMUWO ODOFIN COMMUNITY JUNIOR SECONDAR SCHOOL, Mile 2",State owned,Amuwo-Odofin,Secondary, eddv290cjss@yahoo.com, '08033517783,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/528"",""Read more"")"
"AMUWO ODOFIN JUNIOR HIGH SCHOOL, Mile 2",State owned,Amuwo-Odofin,Secondary, , '08033788067,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/527"",""Read more"")"
"AMUWO ODOFIN JUNIOR SECONDARY SCHOOL, Mile 2",State owned,Amuwo-Odofin,Secondary, aolyteschool@lagosschoolsonline.com, 08037229615,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/526"",""Read more"")"
"AMUWO ODOFIN SECONDARY SCHOOL, Mile 2",State owned,Amuwo-Odofin,Secondary, aodofinsn.sec@lagosschoolsonline.com, 0803 394 1390,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12229"",""Read more"")"
"AMUWO ODOFIN SNR HIGH SCH,  Mile 2",State owned,Amuwo-Odofin,Secondary, alosnrhigh@lagosschoolsonline.com, '08033312835,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1046"",""Read more"")"
"AMUWO ODOFIN SNR SEC SCH,  Mile 2",State owned,Amuwo-Odofin,Secondary, eddv290sss@yahoo.com, 08020304136,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1045"",""Read more"")"
"AMUWO SENIOR GRAMMAR SCHOOL, Agboju",State owned,Amuwo-Odofin,Secondary, amuwosnrgramms@gmail.com, '08035292847,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2607"",""Read more"")"
"ANASTASIA COMPREHENSIVE COLLEGE, Abule-Egba",Privately owned,Ifako/Ijaiye,Secondary, anastintschl@yahoo.com," 0803 628 1941, 0803 578 1563,   0808 234 4272,    0803 306 1647,0803 570 6548","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5586"",""Read more"")"
"ANCHOR MIRRORS SCHOOLS, Abesan Estate",Privately owned,Alimosho,Secondary, ," 0803 573 4412,   0808 882 0868,    0808 866 6228","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5351"",""Read more"")"
"ANGLICAN COMPREHENSIVE HIGH SCHOOL,Ipaja",Privately owned,Alimosho,Secondary, ," 0803 306 4601, 0706 050 8364","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2218"",""Read more"")"
"ANGLICAN GIRLS COLLEGE, Ketu Ijanikin",Privately owned,Ojo,Secondary, anglicangirlscollege@gmail.com," 0802 338 0400,  0802 307 7109,  01 270 8793-6","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/6468"",""Read more"")"
ANGUS MEMORIAL HIGH SCHOOL,State owned, Shomolu,Secondary, angussenior@lagosschoolsonline.com, 0802-780-3603,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1345"",""Read more"")"
"ANOINTED GATE HIGH SCHOOL, Egan",Privately owned,Alimosho,Secondary, anointededucation @gmail.com," 0802 300 3406,  0802 309 6365","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3129"",""Read more"")"
ANSAR UD DEEN  SENIOR GRAMMAR SCHOOL,State owned,Ikorodu,Secondary, ansarursgsch@lagosschoolsonline.com, 0817 444 4010,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1241"",""Read more"")"
ANSAR UD DEEN JUNIOR SECONDARY SCHOOL,State owned,Surulere,Secondary, ," '08034382260 07056893910,","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/974"",""Read more"")"
ANSAR-UD-DEEN COLLEGE,State owned,Oshodi-Isolo,Secondary, , 08033474153,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1320"",""Read more"")"
"ANSAR-UD-DEEN COMPREHENSIVE SNR HIGH SCH, Okota",State owned,Oshodi-Isolo,Secondary, audsnr1980@lagosschoolsonline.com," 0802 304 7403,   0704 230 9888","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2425"",""Read more"")"
"ANSAR-UD-DEEN GIRLS HIGH SCHOOL, Itire ",Privately owned, Mushin,Secondary, itire@adettrust.com  deengirls@yahoo.com, 0803 347 8374,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5530"",""Read more"")"
ANSAR-UD-DEEN GRAMMAR SCHOOL,State owned,Surulere,Secondary, ," 0 1812 6434, 0802 146 7767","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1355"",""Read more"")"
"ANSAR-UD-DEEN GRAMMAR SCHOOL, Surulere",Privately owned,Surulere,Secondary, audgramms@gmail.com," 0806 619 1966, 0802 146 7767, 0802 353 6947  ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2840"",""Read more"")"
ANSAR-UD-DEEN JUNIOR GIRLSÃ¢â¬â¢ HIGH SCHOOL,State owned, Mushin,Secondary, , 08033746204,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/651"",""Read more"")"
ANSAR-UD-DEEN JUNIOR GRAMMAR SCHOOL,State owned,Ikorodu,Secondary, ansarurj.g@lagosschoolsonline.com, 0807-698-1465,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/909"",""Read more"")"
ANSAR-UD-DEEN JUNIOR GRAMMAR SCHOOL,State owned,Surulere,Secondary, , 08030764218,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/972"",""Read more"")"
"ANSAR-UD-DEEN SENIOR HIGH SCHOOL, Surulere",State owned,Surulere,Secondary, audsnr61@lagosschoolsonline.com," '07069032188, 07056893854","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2264"",""Read more"")"
"ANSAR-UD-DEEN SENIOR SEC. SCHOOL, Surulere",State owned,Surulere,Secondary, , 0702 838 4993,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1356"",""Read more"")"
ANSAR-UD-DEEN SOCIETY SENIOR GRAMMAAR SCHOOL,State owned, Badagry ,Secondary, adsseniorbdg@lagosschoolsonline.com, 0803 374 5978,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/554"",""Read more"")"
"ANTHONY SENIOR HIGH SCHOOL, Anthony Village",State owned,Kosofe,Secondary, ," 01-734-2908,      0702-829-5405","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2580"",""Read more"")"
ANTHONY VILLAGE SENIOR HIGH SCHOOL,State owned,Kosofe,Secondary, , 0802-531-9522,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12319"",""Read more"")"
"ANTIOCH ROYAL COLLEGE, Ikotun",Privately owned,Alimosho,Secondary, antioch.academy@yahoo.com," 0803 342 2899, 0803 536 3744","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12572"",""Read more"")"
"ANWAR-UL ISLAM MODEL COLLEGE, Agege",Privately Owned ,Agege,Secondary, aimca1948@yahoo.com," 0802 345 3704,   01-8786021","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2193"",""Read more"")"
"ANWAR-UL-ISLAM GIRLS HIGH SCHOOL, Ojokoro",Privately owned,Ifako/Ijaiye,Secondary, anwarulislamgirlsojokoro@yahoo.com, 08028264049 & 08023465409,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2213"",""Read more"")"
APAPA HIGH SCH,State owned,Apapa,Secondary, , 08033457180,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1060"",""Read more"")"
"APAPA JUNIOR HIGH SCHOOL,  Apapa",State owned,Apapa,Secondary, junior.apapa@lagosschoolsonline.com," '08023527397, 07056893786 ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2130"",""Read more"")"
"APAPA SENIOR HIGH SCHOOL, Apapa",State owned,Apapa,Secondary, apapasnrhighschool@yahoo.com," '08023264431, 07056893774","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/11790"",""Read more"")"
APATA MEMORIAL HIGH SCHOOL.,Privately owned,Oshodi-Isolo,Secondary, apatamemorialschool@gmail.com, 0802 366 3500 & 0803 304 3866,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1922"",""Read more"")"
"APEX SECONDARY SCHOOL, Ajangbadi",Privately owned,Ojo,Secondary, namdyudezek2007@yahoo.com," 0812 078 3888, 0809 277 3748","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3614"",""Read more"")"
"APOSTOLIC FAITH SECONDARY SCHOOL, Anthony Village",Privately owned,Kosofe,Secondary," info@afssedu-edu.org ,afss@apostolicfaithsecsch.org"," 0803 291 8726,  0803 713 0271, ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3160"",""Read more"")"
"APPOLLIAN COMPREHENSIVE HIGH SCHOOL, Ikorodu",Privately owned,Ikorodu,Secondary, soyinkataiwoolunaike@yahoo.com, 0803 537 9712,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5848"",""Read more"")"
"ARAROMI ILOGBO JUNIOR SECONDARY SCHOOL, Oko-Afo",State owned, Badagry ,Secondary, aijss4good@lagosschoolsonline.com, 0805 202 6414,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/550"",""Read more"")"
ARAROMI JUNIOR SECONDARY SCHOOL,State owned,Apapa,Secondary, araromijnr02@lagosschoolsonline.com," '08023006901, 07056893788","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/530"",""Read more"")"
"ARAROMI SENIOR SECONDARY SCHOOL,  Orile",State owned,Apapa,Secondary, araromisnr03@lagosschoolsonline.com," 0802 319 2128,  0705 689 3776","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2152"",""Read more"")"
"ARAROMI-ILOGBO SNR. SEC. SCHOOL, Oko-Afo",State owned, Badagry ,Secondary, edd3aisss@lagosschoolsonline.com, 0803 727 8572,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1814"",""Read more"")"
ARCBISHOP AGGEY MEMORIAL JUNIOR SECONDARY SCHOOL,State owned, Mushin,Secondary, , 08023219791,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/650"",""Read more"")"
ARCHBISHOP AGGEY MEMORIAL SECONDARY SCHOOL,State owned, Mushin,Secondary, , 08034012879,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1286"",""Read more"")"
"ARISONIA PRIVATE COLLEGE, Egbeda",Privately owned,Alimosho,Secondary, ," 0802 756 3452,  0706 551 3909","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/61102"",""Read more"")"
ARMY CANTONMENT  BOYS SECONDARY SCHOOL,State owned,Ojo,Secondary, acbssojo@yahoo.com, 0802 342 5579,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1304"",""Read more"")"
ARMY CANTONMENT BOYS JNR. SEC. SCH. Ojo,State owned,Ojo,Secondary, amycanbjd50@lagosschoolsonline.com, '08035712212,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1802"",""Read more"")"
"ARMY CANTONMENT GIRLS JUNIOR SECONDARY SCHOOL,Ojo",State owned,Ojo,Secondary, armygj2014@lagosschoolsonline.com, '08023260403,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2961"",""Read more"")"
"ARMY CANTONMENT GIRLS SENIOR SEC. SCHOOL, Ojo",State owned,Ojo,Secondary, yoyebole@lagosschoolsonline.com, ''07028309812,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1837"",""Read more"")"
ARMY CANTONMENT JUNIOR SECONDARY SCHOOL,State owned, Ikeja,Secondary, armycanjnikj@lagosschoolsonline.com, 0808 812 7857,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/617"",""Read more"")"
"ARMY CANTONMENT SENIOR SECONDARY SCHOOL, Ikeja",State owned, Ikeja,Secondary, ," 0802307545,08023107545","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2320"",""Read more"")"
ARMY CHILDREN HIGH SCH EPE,State owned,Epe,Secondary, , 08023886823,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1082"",""Read more"")"
ARMY CHILDREN JUNIOR HIGH SCHOOL,State owned,Epe,Secondary, , 8034673563,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/563"",""Read more"")"
"ARMY CHILDREN SENIOR HIGH SCHOOL,  Ikeja",State owned, Ikeja,Secondary, armychildsnr@lagosschoolsonline.com, 080230059157,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1233"",""Read more"")"
"ARMY CHILDREN SENIOR HIGH SCHOOL, Epe",State owned,Epe,Secondary, armysnrepe@lagosschoolsonline.com, 0802 388 6823,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12250"",""Read more"")"
ARMY CHILDRENÃ¢â¬â¢S JUNIOR HIGH SCHOOL,State owned, Ikeja,Secondary, , 08028517501,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/616"",""Read more"")"
"ARMY CHILDRENÃ¢â¬â¢S JUNIOR HIGH SCHOOL, Ikeja",State owned, Ikeja,Secondary, , 08085340907,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/921"",""Read more"")"
"AS-SIDDIQ COLLEGE, Agiliti-Mile 12",Privately owned,Kosofe,Secondary, assiddiq1429@yahoo.com," 0802 345 2923,  0802 831 1959,  0802 354 5655","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/77410"",""Read more"")"
"ASCENSION COLLEGE, Imeke",Privately owned, Badagry ,Secondary, ascensioncollege, 0803 335 5701,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4497"",""Read more"")"
"ASCON INTERNATIONAL SEC. SCHOOL,  Topo Badagry",Privately owned, Badagry ,Secondary, asconstaffschooltopo@yahoo.com, 08035626289,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2306"",""Read more"")"
"ASCON STAFF SECONDARY SCHOOL, Topo",Privately owned,Badagry,Secondary, bamitope@gmail.com," 0803 075 5679, ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/105506"",""Read more"")"
ASHAFA TIJANI MEMORIAL HIGH SCHOOL   [formerly Ebute Metta High School]                                                      ,Privately owned,Lagos-Mainland,Secondary, , 2348033223258,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2208"",""Read more"")"
"ASSFOOD INTERNATIONAL COLLEGE, Alapere-Ketu",Privately owned,Kosofe,Secondary, assfoodinternationalschools@yahoo.com," 0802 834 5284,   0805 127 0559","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4103"",""Read more"")"
"ATHENS COLLEGE, Festac Town ",Privately owned,Amuwo-Odofin,Secondary, athenscollege@yahoo.com," 0803 402 4290,  0812 313 5888","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/64442"",""Read more"")"
"ATLANTIC HALL, Poka",Privately owned,Epe,Secondary, enquiries@atlantic-hall.net," 0808 219 5645, 0704 293 2098","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5298"",""Read more"")"
"ATLAS COLLEGE, Dopemu",Privately owned,Agege,Secondary, atlaskenny@yahoo.com," 0803 305 1803,   0704 222 3459","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/6115"",""Read more"")"
"ATLAS COLLEGE, Dopemu Agege",Privately owned,Alimosho,Secondary, atlaskenny @yahoo.com, 0704 222 3459,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/6463"",""Read more"")"
"ATTWOOL COLLEGE, Awoyaya",Privately owned, Ibeju-Lekki,Secondary, info@attwoolschool.org," 0803 333 0276,  0812 191 1128","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/49085"",""Read more"")"
"ATUNRASE JUNIOR HIGH SCHOOL,  Mushin",State owned, Mushin,Secondary, ajhs.mush@lagosschoolsonline.com, 08033024592,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/649"",""Read more"")"
"ATUNRASE SENIOR HIGH SCHOOL,  Surulere",State owned, Mushin,Secondary, atunrasesnr@lagosschoolsonline.com, 0803 287 5751,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1287"",""Read more"")"
AUNTY AYO JUNIOR GIRLS HIGH SCHOOL,State owned,Eti-Osa,Secondary, auntyayojnr@lagosschoolsonline.com," 0802 302 9532,0802 308 5816","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/590"",""Read more"")"
"AUNTY AYOS GIRLS COMP SNR SEC. SCH, Ikoyi",State owned,Eti-Osa,Secondary, auntyayosnr@lagosschoolsonline.com, 0803 407 4744,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1104"",""Read more"")"
"AUNTY DARE MEMORIAL COLLEGE, Orile-Iganmu",Privately owned,Surulere,Secondary, auntydaregroupofschool@yahoo.com ," 0802 836 4694,   0805 227 1571","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5745"",""Read more"")"
"AUNTY MAY HIGH SCHOOL, Idimu",Privately owned,Alimosho,Secondary, ," 0809 871 1061,      0806 001 9859","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5591"",""Read more"")"
"AUNTY YEMI ACADEMY, Ikotun",Privately owned,Alimosho,Secondary, auntyyemiacademy@gmail.com," 0805 043 4500,   0813 795 0200","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5675"",""Read more"")"
"AVIT COLLEGE, Isawo Agric",Privately owned,Ikorodu,Secondary, avitinter05@yahoo.com," 0704 272 1140,   0802 306 3509,   0803 718 3989,  0803 562 5190  ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5563"",""Read more"")"
"AWODI-ORA JNR. SEC.SCHOOL, Ajegunle",State owned,Ajeromi LGA,Secondary, awodiorajnr1@lagosschoolsonline.com, 0803 319 1112  or  0702 831 2878,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1805"",""Read more"")"
"AWODI-ORA SENIOR SEC. SCHL,  Ajegunle.",State owned,Ajeromi LGA,Secondary, awodisnr.lag@lagosschoolsonline.com, 08032821878,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2160"",""Read more"")"
AWOORI AJEROMI JUNIOR GRAMMAR SCHOOL,State owned,Amuwo-Odofin,Secondary, aworiajejnrgrams@hotmail.com, 08055472441,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/537"",""Read more"")"
"AWORI ANGLICAN COMPREHENSIVE HIGH SCHOOL, Ipaja",Privately owned,Alimosho,Secondary, ," 0803 858 7760,     01- 814 7540","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5461"",""Read more"")"
"AWORI JUNIOR COLLEGE, Ojo",State owned,Ojo,Secondary, jnrawori2010@lagosschoolsonline.com, 0803 316 2244,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10233"",""Read more"")"
"AWORI SENIOR COLLEGE, Ojo",State owned,Ojo,Secondary, aworisnrcolo@lagosschoolsonline.com, '08023211413,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2366"",""Read more"")"
"AWORI-AJEROMI SENIOR GRAMMAR SCHOOL,  Agboju",State owned,Amuwo-Odofin,Secondary, eddv2awojesr@lagosschoolsonline.com, 08033225146,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1867"",""Read more"")"
AYANGBUREN SENIOR HIGH SCHOOL,State owned,Ikorodu,Secondary, gburensnrsch@lagosschoolsonline.com, 0802-327-0643,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12294"",""Read more"")"
"AYEDERE AJIBOLA JUNIOR HIGH SCHOOL, Ketu",State owned,Kosofe,Secondary, ayeajijunior@lagosschoolsonline.com, 0803-074 3806,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2579"",""Read more"")"
"AYEDERE AJIBOLA SENIOR HIGH SCHOOL, Ketu",State owned,Kosofe,Secondary, ayederesnr@lagosschoolsonline.com, 0803 373 2921,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9789"",""Read more"")"
"AYO-OLUSEUN COLLEGE, Alapere",Privately owned,Kosofe,Secondary, ," 0702 808 1787,     0802 339 9150","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4138"",""Read more"")"
"AYOBAMI COLLEGE, Egan-Igando",Privately owned,Alimosho,Secondary, ayobami/pschool@yahoo.com, 0802 303 5154,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10042"",""Read more"")"
"AYOMI  SCHOOL, Sangotedo",Privately owned,Eti-Osa,Secondary, ayomischools@yahoo.com," 0805 582 3026,   0704 430 6113","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/49259"",""Read more"")"
"AYOTUNDE COLLEGE, Igbogbo",Privately owned,Ikorodu,Secondary, ayotundeintlcollege@gmail.com," 0802 293 3775, 0813 309 2010, 0802 284 8820","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/11901"",""Read more"")"
"BABINGTON MACAULAY JUNIOR SEMINARY, Ikorodu ",Privately owned,Ikorodu,Secondary, bmjsschools@gmail.com, 0802 322 6103,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5605"",""Read more"")"
"BABS FAFUNWA MILLENIUM SNR SEC. SCHL, Ojodu",State owned, Ikeja,Secondary, babsfamillss@lagosschoolsonline.com," 0806 090  6030, 0807 528 2255","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1234"",""Read more"")"
"BACHEL MODEL COLLEGE, Ayobo ",Privately owned,Alimosho,Secondary, bachelakademy@yahoo.com," 0806 630 3843,     0803 332 7132","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5758"",""Read more"")"
"BACHEL MODEL COLLEGE, Ifako - Ogba",Privately owned,Ifako/Ijaiye,Secondary, bachelakademy@yahoo.com," 0805 626 8197,    0803 332 7132,  0803 332 7132,   0805 626 8197,  0703 211 5887 ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5743"",""Read more"")"
"BADAGRY JUNIOR GRAMMAR SCHOOL, Badagry",State owned, Badagry ,Secondary, bjgs42003@lagosschoolsonline.com, 08020304136,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/541"",""Read more"")"
"BADAGRY SENIOR GRAMMAR SCHOOL, Badagry",State owned, Badagry ,Secondary, bdysnrgrmsch@lagosschoolsonline.com, 0803 330 7017,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1744"",""Read more"")"
"BADESTAY COMPREHENSIVE HIGH SCHOOL, Iju",Privately owned,Ifako/Ijaiye,Secondary, badeskyoau@yahoo.com," 0805 658 4475, 0706 746 6776","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5768"",""Read more"")"
"BADORE COMMUNITY JUNIOR SECONDARY SCHOOL, Badore",State owned,Eti-Osa,Secondary, badorecomjnr@lagosschoolsonline.com, 0802 326 0570,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/600"",""Read more"")"
